Title,Image URL,Description,Instructions,Training Tips,Groupe Musculaire,Calories de Base Estimées
Russian twist avec développé épaules,http://82.66.65.151:7000/images/ExerciceImage/russian_twist_avec_développé_épaules.jpg,"L’exercice du Russian Twist avec développé épaules (en anglais Russian Twist with Overhead Press) est une combinaison dynamique entre le Russian Twist et le développé épaules, offrant une approche complète de renforcement musculaire. En combinant la torsion du buste avec le mouvement de développé au-dessus de la tête, cet exercice sollicite les muscles abdominaux, les obliques, les épaules, les bras et les muscles du haut du dos. Il présente de nombreux avantages, notamment l’amélioration de la force fonctionnelle, car le mouvement engage plusieurs groupes musculaires en même temps. Votre stabilité du tronc sera également mise à l’épreuve, renforçant ainsi votre équilibre et votre coordination. Par ailleurs, cet exercice sollicite plusieurs groupes musculaires simultanément, ce qui permet de travailler l’endurance musculaire de manière efficace.","1. Asseyez-vous sur le sol en fléchissant les genoux et en gardant les pieds au sol. Vous pouvez également lever les pieds du sol pour augmenter la difficulté de l’exercice. | 2. Tenez un haltère (ou une kettlebell) avec les deux mains, les bras fléchis et les coudes près du corps. | 3. Inclinez légèrement votre torse en arrière pour activer vos muscles abdominaux. | 4. Commencez le mouvement en tournant votre torse vers la droite, en amenant la charge portée du côté droit de votre corps. | 5. Lorsque votre corps droit de face, montez la charge au-dessus de votre tête. | 6. Redescendez la charge et terminez le mouvement de rotation vers la droite. | 7. Répétez le mouvement de torsion et de développé de l’autre côté. Cette séquence complète compte pour une répétition. | 8. Effectuez le nombre de répétitions souhaités.","1. Débutez avec des charges appropriées à votre niveau de condition physique. Il est préférable de commencer avec un poids léger et d’augmenter progressivement l’intensité. | 2. Maintenez une bonne posture tout au long de l’exercice, en gardant le dos droit et les abdominaux engagés pour protéger la colonne vertébrale. | 3. Contrôlez le mouvement et évitez les mouvements brusques pour prévenir les blessures. | 4. Pour augmenter la difficulté de l’exercice, vous pouvez soulever les pieds du sol, utiliser des charges plus lourdes ou effectuer le mouvement plus lentement.",épaules,18.75
Développé militaire,http://82.66.65.151:7000/images/ExerciceImage/développé_militaire.jpg,"Le développé militaire (military press) est un exercice qui permet de solliciter les muscles des épaules, des pectoraux, du haut du dos, des triceps et de la ceinture abdominale, ce qui en fait un exercice difficile pour les débutants.","1. En position debout, les pieds sont écartés de la largeur des épaules et le poids est réparti uniformément sur chaque pied. | 2. Mettez votre corps en tension en contractant vos abdominaux et vos quadriceps et en serrant vos fessiers. Ouvrez votre poitrine et poussez légèrement votre tête en arrière pour laisser suffisamment de place au passage de la barre. | 3. Tournez vos épaules de manière à ce que vos coudes soient dirigés vers le bas. La barre doit reposer dans le creux de vos paumes. | 4. Commencez le mouvement de montée en dépliant vos coudes et en poussant la barre vers le haut tout en maintenant une colonne vertébrale neutre. Vos omoplates doivent bouger naturellement pendant que vos bras s’éloignent du corps. | 5. Continuez à pousser la barre au-dessus de votre tête jusqu’à ce que vos bras soient tendus et que vos coudes soient légèrement fléchis. Faites une pause d’une seconde au sommet du mouvement. | 6. Pour le mouvement de descente, ramenez lentement la barre vers le bas en pliant les coudes et en freinant la barre avec vos dorsaux jusqu’à revenir à la position de départ.","1. Pour le développé militaire, commencez par utiliser une barre avec une charge que vous pouvez contrôler pour réaliser 2 à 3 séries de 3 à 8 répétitions. Commencez par une barre légère pour maîtriser la technique avant de passer à une barre plus lourde. Si vous êtes débutant, prenez une barre olympique à vide (20 kilos). | 2. Si vous avez mal aux épaules pendant le mouvement, essayez une prise plus large. | 3. Prendre une grande inspiration avant de commencer le mouvement vous aidera à stabiliser votre cage thoracique. Expirez lorsque vous soulevez la barre et inspirez lorsque vous la descendez. | 4. Si votre buste oscille trop, la charge que vous essayez de soulever est probablement trop lourde pour votre sangle abdominale qui n’arrive pas à vous stabiliser.",épaules,18.75
Développé Arnold,http://82.66.65.151:7000/images/ExerciceImage/développé_arnold.jpg,"Le développé Arnold (dumbbell Arnold press) est un exercice très efficace pour développer les muscles deltoïdes. Il s’agit d’une variante unique du développé épaules avec haltères, qui doit son nom au bodybuilder, acteur et gouverneur emblématique Arnold Schwarzenegger.","1. Installez un banc de musculation inclinable à 90 degrés et choisissez la charge souhaitée dans le rack. | 2. Prenez les haltères au sol en utilisant une prise neutre (paumes vers l’intérieur). Placez l’extrémité des haltères sur vos genoux et asseyez-vous sur le banc. | 3. Avec un mouvement contrôlé, levez les genoux un par un afin de mettre chaque haltère en place. | 4. La position de départ est bras fléchis devant vous, les paumes de mains en haut et en supination (tournées vers vous). | 5. Inspirez profondément, puis levez les haltères en tendant les coudes (sans les verrouiller) et en contractant les muscles deltoïdes. Ne cambrez pas le bas du dos. | 6. Tout en soulevant les haltères, faites-les pivoter jusqu’à ce que vos paumes soient tournées vers l’avant. | 7. Redescendez ensuite lentement les haltères jusqu’à la position de départ (les bras doivent être à environ 90 degrés ou légèrement plus bas). | 8. Répétez le mouvement jusqu’à ce que vous ayez atteint le nombre de répétitions souhaité.","1. Si les haltères sont lourds, placez-les sur vos cuisses au niveau des genoux. Effectuez une petite flexion explosive d’un mollet pour créer une impulsion qui vous aidera à monter l’haltère. Réaliser la même manœuvre pour monter l’autre haltère. | 2. Maintenez votre dos plaqué contre le dossier pendant toute la durée de l’exercice. | 3. Le fait de garder les coudes légèrement fléchis en haut et de ne pas les verrouiller complètement vous aidera à maintenir une certaine tension sur les épaules. | 4. Pour maintenir une position stable sur le banc, abaissez les deux haltères au même rythme. | 5. Évitez les mouvements d’avant en arrière ou d’un côté à l’autre, ces derniers pourraient vous faire perdre l’équilibre avec un risque de blessure.",épaules,18.75
Face pull,http://82.66.65.151:7000/images/ExerciceImage/face_pull.jpg,"Le face pull est un exercice d’isolation à la poulie qui permet de faire travailler principalement les épaules et secondairement le dos. Il cible spécifiquement les deltoïdes postérieurs (arrière des épaules), et sollicite aussi les rhomboïdes (les muscles qui vous permettent de serrer vos omoplates) et le milieu des trapèzes.",1. Attachez une corde sur une poulie placée à peu près au niveau de la poitrine. | 2. Saisissez les deux extrémités de la corde avec une prise en pronation. | 3. Reculez de manière à maintenir la charge avec les bras complètement tendus et mettez-vous debout avec les pieds écartés. Pliez légèrement les genoux pour assurer une certaine stabilité. | 4. Rétractez les omoplates et tirez la corde vers le visage tout en écartant les coudes sur les côtés. Pensez à écarter les extrémités de la corde et pas seulement à la tirer vers l’arrière. | 5. Maintenez la position haute pendant une seconde et descendez lentement. | 6. Répétez ce mouvement jusqu’à ce que vous ayez atteint le nombre de répétitions souhaité.,"1. Tirez avec vos coudes, pas avec vos biceps. | 2. Veillez à ce que vos omoplates restent serrées et tendues tout au long du mouvement. Vous devez essayer de les “coller” l’une à l’autre. Une astuce consiste à imaginer que vous tenez une balle de golf entre celles-ci et que vous ne devez pas la laisser tomber sur le sol. | 3. Vous pouvez utiliser une poulie haute ou même une poulie basse à condition d’ajuster l’angle de votre corps pour que vos coudes et l’angle de la poulie soient perpendiculaires à votre torse.",épaules,18.75
Élévations latérales à la poulie,http://82.66.65.151:7000/images/ExerciceImage/élévations_latérales_à_la_poulie.jpg,Les élévations latérales à la poulie sont une variante très appréciée pour l’entraînement des épaules. Il s’agit d’un exercice d’isolation permettant de cibler précisément les muscles deltoïdes. Les élévations latérales peuvent également être effectuées avec des haltères ou une machine à élévation latérale.,"1. Réglez la position des poulies de la poulie vis-à-vis en position basse et sélectionnez la charge que vous souhaitez utiliser. | 2. Saisissez la poignée gauche avec votre main droite et la poignée droite avec votre main gauche. | 3. Tenez-vous droit, les bras devant vous (croisés). Le poids doit être légèrement en retrait par rapport à l’appareil à poulies. C’est la position de départ pour le mouvement. | 4. Avec les bras légèrement fléchis, levez vos coudes jusqu’à ce qu’ils arrivent au niveau des épaules. Faites une pause et redescendez lentement le poids dans la position de départ. | 5. Répétez le mouvement jusqu’au nombre de répétitions souhaité.","1. Il est possible de travailler en même temps la partie postérieure ou antérieure des épaules lors des élévations latérales. En effet, comme le montre cette analyse électromyographique(2), l’activité du deltoïde antérieur augmente lors de la rotation externe de l’humérus, tandis que celle du deltoïde postérieur augmente lors de la rotation interne de l’humérus. | 2. Gardez les coudes hauts tout au long du mouvement. | 3. Comme le montre l’illustration ci-dessus, il est possible de réaliser cet exercice unilatéralement si vous n’avez pas de poulie vis-à-vis ou si celle-ci est déjà occupée. L’avantage de cette variante est qu’il est possible de travailler avec une attention plus élevée sur chaque bras, mais aussi d’avoir une amplitude de mouvement légèrement plus importante. | 4. Il n’est pas nécessaire de prendre des charges lourdes avec cet exercice. Le plus important est de réaliser un mouvement constant, fluide et sans temps de pause en bas du mouvement afin de profiter au maximum de la tension continue de la poulie. Les élévations latérales à la poulie vis-à-vis sont idéales pour les personnes qui apprécient travailler jusqu’à obtenir une sensation de brûlure dans leurs muscles.",épaules,15.0
Élévations latérales à la machine,http://82.66.65.151:7000/images/ExerciceImage/élévations_latérales_à_la_machine.jpg,Les élévations latérales guidées à la machine permettent d’isoler et de développer efficacement le chef latéral du deltoïde afin de lui donner cette largeur tant recherchée.,"1. Commencez par choisir la charge que vous souhaitez utiliser sur la machine pour les élévations latérales. | 2. Réglez la hauteur du siège et asseyez-vous sur le siège de la machine, les pieds à plat au sol, écartés de la largeur des épaules. | 3. Placez vos bras dans le rembourrage et saisissez les poignées. Regardez droit devant vous. Vous êtes maintenant prêt à commencer l’exercice. | 4. En gardant les coudes fléchis et en ne déplaçant que les épaules, commencez à élever la charge jusqu’à ce que vos avant-bras soient juste au-dessus de la parallèle. | 5. Contractez les muscles de vos épaules au sommet du mouvement et commencez à descendre lentement la charge en utilisant le même mouvement semi-circulaire que vous avez utilisé pour la monter. | 6. Répétez ce mouvement jusqu’au nombre de répétitions souhaité.","1. Comme il s’agit d’un mouvement d’isolation, la technique est plus importante que la charge elle-même. Contrôlez la charge à tout moment pour obtenir de meilleurs résultats. | 2. Ne reposez pas la charge complètement entre chaque répétition afin de garder une tension continue sur les muscles. | 3. Si vous utilisez une machine avec plaques comme sur l’illustration ci-dessus, profitez-en pour effectuer des séries dégressives de temps en temps. | 4. Gardez le corps immobile tout au long du mouvement. Cela permet de limiter l’élan et de protéger votre dos. Pour cela, gardez toujours votre sangle abdominale bien gainée. | 5. Il est inutile de monter les bras au-delà de la parallèle.",épaules,15.0
Développé épaules avec haltères,http://82.66.65.151:7000/images/ExerciceImage/développé_épaules_avec_haltères.jpg,L’exercice du développé épaules avec haltères est un excellent choix pour l’entraînement des épaules. Il s’agit d’un exercice de base qui nécessite une bonne coordination.,"1. Prenez des haltères au sol et placez-les sur vos genoux si vous faites la version assise sur un banc. | 2. Avec un mouvement maîtrisé, effectuez une flexion des biceps pour lever les haltères en position de départ. Si vous êtes assis, vous pouvez vous aider des genoux afin de vous aider à mettre chaque haltère en place. | 3. Orientez vos paumes de mains de manière à ce qu’elles soient tournées vers l’avant. | 4. Inspirez profondément puis poussez les haltères au-dessus de votre tête en tendant les bras et en contractant les muscles deltoïdes. | 5. Redescendez ensuite lentement les haltères en position de départ. | 6. Répétez le mouvement jusqu’à ce que vous ayez effectué le nombre de répétitions nécessaire.","1. Lever les haltères verticalement. L’erreur courante chez les débutants est de déplacer les haltères trop loin sur les côtés, ce qui peut vous faire perdre l’équilibre et exercer une pression inutile sur vos épaules. | 2. Ne verrouillez pas vos coudes en position haute. | 3. Le dos doit être droit pendant toute l’exécution. Ne cambrez pas le dos ou ne l’arrondissez pas. | 4. Contrôlez le mouvement et évitez de heurter les haltères l’un contre l’autre en haut du mouvement. Cela est particulièrement dangereux avec des charges lourdes, car cela peut vous faire perdre le contrôle de la trajectoire et occasionner une blessure. | 5. La position assise réduit les possibilités de tricher. En effet, il est plus difficile de bouger le torse  ou de s’aider d’un mouvement de jambe pour vous donner de l’élan. | 6. Il est possible d’effectuer cet exercice debout ce qui permet de solliciter en même temps les muscles de la sangle abdominale. Et si vous souhaitez maximiser le recrutement des muscles obliques, testez la version du développé épaules avec haltères debout en unilatéral.",épaules,18.75
Développé épaules debout à la landmine,http://82.66.65.151:7000/images/ExerciceImage/développé_épaules_debout_à_la_landmine.jpg,Le développé à la landmine (en anglais landmine press) est un exercice de musculation qui consiste à lever une barre calée dans une “mine de terre”.,"1. Placez l’extrémité de la barre dans le support de la landmine et ajoutez une charge qui vous permet de réaliser 2 à 3 séries de 8 à 12 répétitions. | 2. Tenez-vous face à la barre, les pieds écartés d’une largeur légèrement supérieure à celle des hanches, avec les genoux légèrement fléchis. | 3. Saisissez la barre à deux mains en gardant vos coudes près du corps. | 4. Pour amorcer le mouvement vers le haut, contractez vos fessiers et votre sangle abdominale puis poussez la barre vers le haut et devant vous. | 5. Redescendez lentement la barre et répétez le mouvement","1. Cet exercice peut être réalisé à la fin d’une séance pour les pectoraux, car il sollicite le milieu de la portion claviculaire des muscles grands pectoraux, une zone fréquemment récalcitrante à se développer. | 2. Certaines salles de sport disposent d’un support dédié, la fameuse landmine. Mais vous pouvez également effectuer cet exercice en plaçant l’une des extrémités de la barre dans un coin. | 3. Le développé à la landmine peut également être effectué unilatéralement. Cela permet un recrutement encore plus important des muscles de la ceinture abdominale. Par ailleurs, cela permet aussi de corriger d’éventuels déséquilibres de force ou de développement musculaire entre le côté droit et gauche.",épaules,18.75
Rotation externe de l’épaule à la poulie,http://82.66.65.151:7000/images/ExerciceImage/rotation_externe_de_lépaule_à_la_poulie.jpg,,"1. Réglez la hauteur de la poulie à la hauteur de votre coude. | 2. Tenez-vous debout, le côté droit de votre corps orienté en direction de la poulie avec laquelle vous allez travailler. | 3. Saisissez la poulie avec votre bras gauche et pliez votre coude à un angle de 90 degrés tout en gardant votre bras fermement plaqué contre votre flanc gauche. | 4. Tirez la poulie vers la gauche pour faire une rotation externe de votre épaule. | 5. Maintenez cette position pendant à peu près deux secondes. | 6. Ramenez votre avant-bras à la position de départ. | 7. Recommencez ce mouvement jusqu’à ce que vous ayez effectué le nombre de répétitions souhaité. | 8. Répétez cette série avec votre autre bras.",1. Vous pouvez effectuer ce mouvement à l’aide d’un élastique ou avec un haltère sur le côté si vous n’avez pas accès à une poulie. | 2. Veillez à ne pas utiliser une charge trop importante afin d’éviter toute blessure de la coiffe des rotateurs. | 3. Assurez-vous que l’omoplate reste immobile pendant la rotation externe de l’épaule.,épaules,15.0
Pec deck inversé,http://82.66.65.151:7000/images/ExerciceImage/pec_deck_inversé.jpg,"Le pec deck inversé (machine Reverse Fly ou reverse butterfly en anglais) est une variante sur machine des élévations latérales buste penché (exercice communément appelé “l’oiseau”), un exercice utilisé pour cibler les muscles deltoïdes postérieurs de l’épaule.","1. Placez-vous face à l’appareil de musculation en position assise, la poitrine contre le support et les poignées placées devant vous. | 2. Tendez le bras vers l’avant et saisissez chaque poignée avec une prise en pronation ou neutre. | 3. Contractez les deltoïdes arrière tout en gardant les coudes légèrement fléchis et ouvrez les bras en effectuant un mouvement circulaire vers l’arrière. | 4. Ramenez lentement les poignées en position de départ et répétez le mouvement jusqu’au nombre de répétitions souhaité.","1. Faites en sorte que le mouvement provienne entièrement du déplacement de l’avant-bras au niveau de l’épaule plutôt que de la rétraction de l’omoplate. | 2. Les omoplates ne doivent à aucun moment bouger, il peut y avoir une légère rétraction à la fin du mouvement. | 3. Ne laissez pas la tête se pencher en avant lorsque les bras s’ouvrent. | 4. Une autre erreur courante est de hausser les épaules vers le haut. Cette erreur se produit le plus souvent lorsque la personne essaie de charger plus lourd qu’il ne peut supporter : elle essaie donc de tricher avec les trapèzes pour déplacer la charge, au détriment du travail des deltoïdes postérieurs.",épaules,15.0
